fold,site,state,n_inducing,n_train,n_test,ip_selection_time,train_time,infer_time,total_fold_time,stopped_epoch
27,111056_45684,MT,256,48142,710,9.664593920577317,89.04572557285428,0.0206871940754354,98.73100668750703,50
27,111056_45684,MT,512,48142,710,22.392501718830317,106.88346294919029,0.0438970192335546,129.31986168725416,50
27,111056_45684,MT,1024,48142,710,45.08976861415431,135.20039046322927,0.05445913411676884,180.34461821150035,50
28,114224_47013,MT,128,48155,697,8.374259451404214,96.34151905216277,0.03682390786707401,104.75260241143405,50
28,114224_47013,MT,256,48155,697,15.617730104830116,102.15241951402277,0.021108599845319986,117.7912582186982,50
28,114224_47013,MT,512,48155,697,34.596561797428876,102.28059324389324,0.02254048315808177,136.8996955244802,50
28,114224_47013,MT,1024,48155,697,46.42578051192686,135.3596946010366,0.027024426963180304,181.81249953992665,50
29,105370_45440,MT,128,48124,728,13.499684790614992,105.87341486476362,0.027861692011356354,119.40096134738997,50
29,105370_45440,MT,256,48124,728,18.02083179121837,104.55831551086158,0.02115097502246499,122.60029827710241,50
29,105370_45440,MT,512,48124,728,25.113111049868166,98.02097529685125,0.03486908692866564,123.16895543364808,50
29,105370_45440,MT,1024,48124,728,44.64221689477563,136.027859789785,0.02654974488541484,180.69662642944604,50
30,106490_45366,MT,128,48145,707,13.70171668799594,90.38934554997832,0.01969105890020728,104.11075329687446,50
30,106490_45366,MT,256,48145,707,19.718749206978828,95.49873161688447,0.03193709487095475,115.24941791873425,50
30,106490_45366,MT,512,48145,707,22.1368181402795,92.50720570422709,0.022536526899784803,114.66656037140638,50
30,106490_45366,MT,1024,48145,707,56.877972403075546,138.5977241601795,0.04686172911897302,195.52255829237401,50
31,114189_48364,MT,128,48126,726,8.370539131108671,93.53791623702273,0.029561148956418037,101.93801651708782,50
31,114189_48364,MT,256,48126,726,15.36550909280777,99.5308314380236,0.02022339077666402,114.91656392160803,50
31,114189_48364,MT,512,48126,726,19.005465764086694,100.96298513328657,0.022647630888968706,119.99109852826223,50
31,114189_48364,MT,1024,48126,726,47.041981703136116,138.5703100678511,0.036656341049820185,185.64894811203703,50
32,111987_46850,MT,128,48124,728,6.494925018865615,98.85520161082968,0.03611590713262558,105.38624253682792,50
32,111987_46850,MT,256,48124,728,14.340344594791532,97.17721449490637,0.03674708632752299,111.55430617602542,50
32,111987_46850,MT,512,48124,728,34.766153750009835,102.99794137198478,0.04976207623258233,137.8138571982272,50
32,111987_46850,MT,1024,48124,728,52.44674352603033,139.73770592268556,0.027147413231432438,192.21159686194733,50
33,104778_41182,WY,128,48122,730,7.994458120781928,99.38118974817917,0.04416600614786148,107.41981387510896,50
33,104778_41182,WY,256,48122,730,16.108319553080946,102.20576354395598,0.03031262941658497,118.34439572645351,50
33,104778_41182,WY,512,48122,730,23.63902665907517,102.06638080533594,0.022976544685661793,125.72838400909677,50
33,104778_41182,WY,1024,48122,730,51.22662421222776,143.74855130631477,0.05443755816668272,195.0296130767092,50
34,109455_47049,MT,128,48128,724,8.05928481509909,88.55791560793296,0.06229127058759332,96.67949169361964,50
34,109455_47049,MT,256,48128,724,13.257371292915195,96.1552317016758,0.020954037085175514,109.43355703167617,50
34,109455_47049,MT,512,48128,724,27.948427884373814,99.18331722309813,0.04097539512440562,127.17272050259635,50
34,109455_47049,MT,1024,48128,724,51.63951771799475,138.0223540221341,0.026919573079794645,189.68879131320864,50
35,107862_48318,MT,128,48126,726,8.712340622209013,99.99555297801271,0.053673780988901854,108.76156738121063,50
35,107862_48318,MT,256,48126,726,12.540567940101027,90.16894826292992,0.02004238311201334,102.72955858614296,50
35,107862_48318,MT,512,48126,726,25.712278340011835,101.45949175115675,0.04983042599633336,127.22160051716492,50
35,107862_48318,MT,1024,48126,726,60.66726424591616,124.31667247833684,0.026298031210899353,185.0102347554639,50
36,107549_43082,WY,128,48163,689,8.212679794058204,104.46248475601897,0.020065207965672016,112.69522975804284,50
36,107549_43082,WY,256,48163,689,11.336750207934529,105.65960076916963,0.05681876419112086,117.05316974129528,50
36,107549_43082,WY,512,48163,689,40.745078491047025,110.47183445189148,0.035374089144170284,151.25228703208268,50
36,107549_43082,WY,1024,48163,689,66.1780157298781,151.7859487067908,0.04966869577765465,218.01363313244656,50
37,108720_42530,WY,128,48126,726,9.025239923037589,106.46616021636873,0.04435564484447241,115.5357557842508,50
37,108720_42530,WY,256,48126,726,21.825087894219905,105.04773879703134,0.04830397432669997,126.92113066557795,50
37,108720_42530,WY,512,48126,726,36.24777732603252,125.46949400333688,0.03548951307311654,161.7527608424425,50
37,108720_42530,WY,1024,48126,726,75.56573455315083,157.0972205470316,0.03866385202854872,232.701618952211,50
38,114371_43683,ID,128,48173,679,11.249795763753355,110.08241732092574,0.02839417988434434,121.36060726456344,50
38,114371_43683,ID,256,48173,679,25.78206016914919,102.04121751990169,0.03734802175313234,127.86062571080402,50
38,114371_43683,ID,512,48173,679,42.14783767517656,114.20051603903994,0.04917267709970474,156.3975263913162,50
38,114371_43683,ID,1024,48173,679,58.95865592500195,145.70733811706305,0.046778414864093065,204.7127724569291,50
39,116557_48292,ID,128,48130,722,7.615564210340381,84.57357989391312,0.01976109202951193,92.20890519628301,50
39,116557_48292,ID,256,48130,722,10.426077190320939,97.78560583479702,0.020677641034126282,108.23236066615209,50
39,116557_48292,ID,512,48130,722,20.229014174081385,88.87847829377279,0.05166510585695505,109.15915757371113,50
39,116557_48292,ID,1024,48130,722,36.81472738226876,123.279171817936,0.026201114058494568,160.12010031426325,50
40,114252_42680,ID,128,48164,688,7.9324822328053415,111.08479772415012,0.01960539212450385,119.03688534907997,50
40,114252_42680,ID,256,48164,688,28.13664361089468,116.19795442465693,0.02996661700308323,144.3645646525547,50
40,114252_42680,ID,512,48164,688,27.31645454093814,110.53296232782304,0.04779430199414492,137.89721117075533,50
40,114252_42680,ID,1024,48164,688,56.020687660202384,138.23162518022582,0.0743070743046701,194.32661991473287,50
41,116805_47789,ID,128,48166,686,6.73686544271186,103.42450708895922,0.05788998305797577,110.21926251472905,50
41,116805_47789,ID,256,48166,686,9.697345780674368,91.0317248753272,0.03260855097323656,100.7616792069748,50
41,116805_47789,ID,512,48166,686,21.76658493699506,91.74548056395724,0.022468033712357283,113.53453353466466,50
41,116805_47789,ID,1024,48166,686,54.363993304781616,141.09246769128367,0.04973769234493375,195.50619868841022,50
42,116806_46397,ID,128,48162,690,13.390336346812546,98.86866664886475,0.020463351160287857,112.27946634683758,50
42,116806_46397,ID,256,48162,690,15.110398973803967,101.1059590568766,0.021043811924755573,116.23740184260532,50
42,116806_46397,ID,512,48162,690,23.957636753097177,103.7123328964226,0.023135534022003412,127.69310518354177,50
42,116806_46397,ID,1024,48162,690,38.92490011733025,157.42432643286884,0.027718286029994488,196.3769448362291,50
43,116536_46335,ID,128,48595,257,12.802315270993859,99.18961491482332,0.019919640850275755,112.01184982666746,50
43,116536_46335,ID,256,48595,257,11.778595529031008,103.26327069103718,0.03689404530450702,115.0787602653727,50
43,116536_46335,ID,512,48595,257,20.460369342006743,105.90615836391225,0.03424044884741306,126.40076815476641,50
43,116536_46335,ID,1024,48595,257,47.72485879203305,159.19609538139775,0.07009904412552714,206.99105321755633,50
44,114495_42565,ID,128,48125,727,10.758269105106592,83.37021601293236,0.018958276137709618,94.14744339417666,50
44,114495_42565,ID,256,48125,727,6.942290530074388,75.54512083902955,0.020050293765962124,82.5074616628699,50
