site,state,n_inducing,n_train,n_test,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,train_time,infer_time,ip_time,total_time,stopped_epoch,param_base_scale,param_summer_scale,param_winter_scale,param_seasonal_scale,param_aot_period_days,param_smog_period_days,param_residual_period_days,param_noise
115972_44104,ID,256,48125,727,0.6093332557115144,0.4788645628561657,-0.13108960209124199,4.924082262287901,3.7367843323577357,0.12515866508562745,92.44705518707633,0.02055702731013298,18.46324894297868,110.93086115736514,50,0.1553671509027481,0.4261568486690521,0.3704964518547058,0.6553595066070557,422.9243607748953,517.4018424331408,396.76556385650287,0.21262460947036743
115972_44104,ID,512,48125,727,0.7193616809491629,0.5842879390786629,-0.576455976783016,6.090084009267514,4.941543037984884,-0.33821305472494045,97.815561120864,0.04742754017934203,23.360498587600887,121.22348724864423,50,0.18761974573135376,0.45731988549232483,0.3796195089817047,0.6327401399612427,352.03128301093597,489.93859488907725,413.6119948501649,0.1947007179260254
115972_44104,ID,1024,48125,727,0.7697819654311476,0.6285514596058381,-0.8051891378378968,6.930460873291772,5.605922638499291,-0.7330174161555598,135.11055906303227,0.047239657025784254,37.74410651391372,172.90190523397177,50,0.20841848850250244,0.46372541785240173,0.4012613594532013,0.6163970232009888,331.4029683110724,486.76438298050397,418.1816471321748,0.18325665593147278
116116_45931,ID,128,48128,724,0.4730863037408596,0.36872053025366575,0.29472525826236207,3.6598708959393385,2.39148510543931,0.40585572238373047,107.7044001580216,0.03982234187424183,13.149213501717895,120.89343600161374,50,0.13256028294563293,0.40255364775657654,0.3751544654369354,0.6486563682556152,498.89625663493234,556.4610416106223,401.1659720267209,0.24095775187015533
116116_45931,ID,256,48128,724,0.4430228463983606,0.3495779950370242,0.3815140665574518,3.503945711025794,2.300315907056416,0.4554031502976199,112.00196825014427,0.03715619817376137,22.066177933942527,134.10530238226056,50,0.15374097228050232,0.42845144867897034,0.38441407680511475,0.6404667496681213,397.2274162113895,513.4470708261164,404.78115439266816,0.21369901299476624
116116_45931,ID,512,48128,724,0.41462413355685296,0.3264023958303707,0.45826520030541784,3.231612589767623,2.1577402714918614,0.5367675548540054,115.39596811402589,0.03629252593964338,40.61337631801143,156.04563695797697,50,0.18143214285373688,0.4627636969089508,0.39219602942466736,0.6283576488494873,360.7162446734413,499.9155321258659,409.45763196837794,0.19631314277648926
116116_45931,ID,1024,48128,724,0.41156082900130225,0.32401807964778256,0.46624046385078943,3.156400693466445,2.138421867862492,0.5580789919458191,153.09615654777735,0.03545153792947531,82.23988211899996,235.3714902047068,50,0.20505967736244202,0.4764155447483063,0.4044339656829834,0.6168478727340698,334.8166625653501,483.892392574346,417.633886337921,0.1843848079442978
113890_45182,ID,128,48126,726,0.6438511754786015,0.48412069631162746,0.3067887786526369,7.730440152182704,4.616407144473703,0.0679387418745171,121.78034789813682,0.03212766209617257,14.35831786878407,136.17079342901707,50,0.13649021089076996,0.4267866313457489,0.37880945205688477,0.6813870072364807,484.58329976193227,565.8300660338641,396.3901134599428,0.23718450963497162
113890_45182,ID,256,48126,726,0.7467212118254322,0.5832925696149364,0.06758001138093561,8.418329619780684,5.203808962384548,-0.10531958449420764,117.61624627327546,0.020556250121444464,24.62513982038945,142.26194234378636,50,0.15348313748836517,0.44777828454971313,0.387126088142395,0.6374393105506897,410.9183445479563,517.7074139626354,400.4867493632359,0.21205084025859833
113890_45182,ID,512,48126,726,0.7546749117721281,0.5845470567155544,0.04761088379192091,8.474738509593756,5.220017217738638,-0.12018209237778188,121.00247131567448,0.04598422395065427,44.99162096809596,166.0400765077211,50,0.1808231920003891,0.4643119275569916,0.37736403942108154,0.6351851224899292,356.4825825807191,496.50607834266594,411.288446382601,0.19348612427711487
113890_45182,ID,1024,48126,726,0.7845447242177381,0.6129484868060158,-0.029271650233233082,8.576072633174467,5.330425702508002,-0.14713072735286037,158.11736163776368,0.03220839612185955,106.32533818483353,264.47490821871907,50,0.2042955607175827,0.45780128240585327,0.40344536304473877,0.6181937456130981,326.1734223073485,492.2745311548029,422.88435122115686,0.182309091091156
116993_46408,ID,128,48134,718,0.695208352568955,0.5549941212173193,0.1190747862021545,6.405489330794639,4.11527367281909,0.27333490289478657,100.70392066705972,0.019298357889056206,9.793865320738405,110.51708434568718,50,0.12897086143493652,0.40318968892097473,0.3708018660545349,0.659430742263794,493.8220863047541,563.5370461395877,403.1433272057633,0.23564398288726807
116993_46408,ID,256,48134,718,0.6944541447525415,0.5605957634257444,0.12098512081380097,6.628704372617971,4.161934587696482,0.22180761260106874,85.03689246624708,0.040126599837094545,7.843553434126079,92.92057250021026,50,0.15371869504451752,0.45096272230148315,0.3751600682735443,0.6341580748558044,410.079588788948,520.9217054144727,401.87395231608514,0.21192866563796997
116993_46408,ID,512,48134,718,0.6915613405091253,0.5554279117124572,0.12829308156531127,6.54346569652174,4.130630626988576,0.24169252589532386,97.41167296282947,0.034735243767499924,19.46787791978568,116.91428612638265,50,0.17865358293056488,0.45655137300491333,0.3775276839733124,0.6292021870613098,349.7666296446824,500.6068018138096,404.9431009676064,0.193570077419281
116993_46408,ID,1024,48134,718,0.6859484059185761,0.5538011682963168,0.1423857663984447,6.576291951678176,4.118514667067462,0.23406512049175632,124.77043324196711,0.02675674669444561,31.10566878411919,155.90285877278075,50,0.20355360209941864,0.4575923979282379,0.4028327465057373,0.6253663897514343,333.87795158005565,490.3582043527421,416.58402953314743,0.18210509419441223
