fold,site,state,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
87,116215_43648,ID,0.10513295978307724,0.040444351732730865,0.32012754678726196,0.06641435623168945,403.22489441558963,227.9046978565531,430.4630237031794,0.1284891963005066
88,116827_47715,ID,0.1069246381521225,0.05414031445980072,0.3367477357387543,0.035405587404966354,489.37471085859164,340.1431401785107,495.97451178241903,0.1309799998998642
89,102402_48642,ND,0.09298134595155716,0.038609828799963,0.28405314683914185,0.09000053256750107,446.5204341333406,271.060135392631,467.799802754984,0.13176997005939484
90,102646_47342,ND,0.10738372802734375,0.038638416677713394,0.29180100560188293,0.05280597135424614,495.2305583613756,279.95263124826056,379.49058978651027,0.1403462439775467
91,108041_44280,WY,0.11609318107366562,0.05452507734298706,0.384149432182312,0.06604316830635071,440.4075631759426,292.2251790893265,433.6380236410214,0.13229231536388397
92,104192_43873,WY,0.1119941845536232,0.06562457978725433,0.32073843479156494,0.14771892130374908,429.64049539513627,386.7282821225085,514.8042461480303,0.13806793093681335
93,105920_44340,WY,0.1213843896985054,0.07191774249076843,0.27667006850242615,0.2923515737056732,461.0231336141926,385.7933413730435,425.338590066688,0.16864880919456482
94,113787_42608,ID,0.12461884319782257,0.0406792052090168,0.3333573341369629,0.053016699850559235,587.5544960076128,304.5534187722545,464.87483286017465,0.1526132971048355
95,116896_46921,ID,0.11863230913877487,0.0462668240070343,0.42064762115478516,0.014980409294366837,473.4052538968832,246.76696606642457,613.5477363888875,0.12087187170982361
96,116709_46579,ID,0.12958858907222748,0.07317470014095306,0.28435850143432617,0.301850825548172,453.769360704424,385.0061067963094,381.0474504746787,0.1724933236837387
97,116359_48998,ID,0.0877193734049797,0.047731589525938034,0.3136935532093048,0.09694449603557587,416.6587336450468,282.4987217372293,406.829326977433,0.12970824539661407
98,111615_42652,ID,0.11677437275648117,0.040736567229032516,0.2643483281135559,0.07502440363168716,412.42055602630995,245.09455384705117,379.93712731709604,0.12773467600345612
99,111800_43809,ID,0.10983570665121078,0.02629878558218479,0.36542725563049316,0.025537848472595215,560.4302497917503,237.72913225369996,485.97579290244795,0.13963212072849274
100,116979_44262,ID,0.11684142798185349,0.028734693303704262,0.3545886278152466,0.018655627965927124,389.39866905380865,301.663763377475,500.7824063175143,0.14191432297229767
101,116347_46061,ID,0.10287357121706009,0.03178730234503746,0.24332958459854126,0.047651506960392,516.0326565045651,306.63891302112074,538.7923795891825,0.13862566649913788
102,115195_48971,MT,0.10641878098249435,0.046759966760873795,0.3813502788543701,0.038874488323926926,465.94460166173116,268.9239311861416,415.9976306887812,0.12844406068325043
103,112459_42590,ID,0.12609341740608215,0.05047802999615669,0.3552204668521881,0.12156123667955399,548.0585497224281,236.36051881943663,338.6684095724698,0.13711664080619812
104,103264_47601,ND,0.10745470970869064,0.04614490270614624,0.3021550178527832,0.0697268694639206,449.0501355321296,294.7679265802783,414.4201779418678,0.12713052332401276
105,116359_48894,ID,0.11339861899614334,0.039027657359838486,0.3037387728691101,0.029305998235940933,373.3256857692674,228.7926048239287,408.0891751576321,0.1290608048439026
106,116886_47339,ID,0.10674598813056946,0.042955320328474045,0.3043234646320343,0.227789506316185,462.24247324666294,326.4754226021572,400.7365145977605,0.13448283076286316
107,109677_48551,MT,0.11134854704141617,0.02627772092819214,0.2944797873497009,0.03136594966053963,440.9707444448739,282.0737722785105,344.17359532635584,0.1276664435863495
108,112364_48607,MT,0.09832224249839783,0.08506810665130615,0.30167949199676514,0.19843189418315887,511.2780736737622,413.16987343115744,529.2877090655107,0.11268793046474457
109,105620_41320,WY,0.10982109606266022,0.0611744187772274,0.3076741695404053,0.033939119428396225,528.5697810175161,285.28388230363106,549.1080119054172,0.12625673413276672
110,106814_41452,WY,0.1072712168097496,0.033881161361932755,0.28627267479896545,0.045266665518283844,487.1947590068722,305.4175096619875,410.8935040574659,0.1361398547887802
111,114096_46927,MT,0.11616789549589157,0.04295843839645386,0.3218806982040405,0.056679461151361465,598.0998506335849,302.42030919341306,416.58767394475973,0.13962426781654358
