fold,site,state,inference_days,actual_inference_days,n_infer_points,rmse_log,mae_log,r2_log,infer_time
45,106278_42846,WY,100,100,6750,0.4512338259112498,0.3655041537748518,0.14241335833196922,0.22407945594750345
45,106278_42846,WY,150,150,10025,0.5110122711687932,0.3964816001394568,-0.09985990256758726,0.4501249629538506
45,106278_42846,WY,200,200,13575,0.5535032761611632,0.4625543042622438,-0.2903725107939219,2.3006951480638236
45,106278_42846,WY,250,250,17081,0.48111527084819583,0.3691551722780062,0.025070987222123198,1.2775162640027702
45,106278_42846,WY,300,300,20156,0.5322637667576323,0.44859268716911815,-0.1932419609767697,2.1266892049461603
45,106278_42846,WY,350,350,23288,0.5524545637102879,0.45400025829026136,-0.2854874529925795,3.109492780873552
45,106278_42846,WY,400,400,26994,0.6033789156480185,0.4715491568973442,-0.5333982786540001,4.155964880948886
46,110831_44373,WY,25,25,1670,0.5769285407225289,0.46625587985732614,0.14043599295116416,0.1843999910634011
46,110831_44373,WY,50,50,3260,0.5300539854567813,0.4386075255205732,0.2744382456859523,0.12966879294253886
46,110831_44373,WY,100,100,6412,0.6117864450119577,0.5056460635350394,0.033428747566815575,0.20274517708458006
46,110831_44373,WY,150,150,9888,0.5872715295984663,0.4793707879589813,0.10933975489452008,0.4294543149881065
46,110831_44373,WY,200,200,13356,0.5566415676154641,0.4518246615557718,0.19982414508049462,0.7687093419954181
46,110831_44373,WY,250,250,16304,0.6033000505861883,0.49762955134508674,0.06005834373748897,1.7344491539988667
46,110831_44373,WY,300,300,19472,0.5644037067973805,0.45425463043492664,0.17735229899303373,3.0670670680701733
46,110831_44373,WY,350,350,22865,0.5799485966972471,0.4671320279010954,0.1314132953002921,3.082704728934914
46,110831_44373,WY,400,400,26398,0.5624892161573357,0.4571920870449395,0.18292377253524084,3.472956286976114
47,104677_47868,MT,25,25,1638,0.5699316671388972,0.4477300336316766,-0.19001483046477774,0.1919016980100423
47,104677_47868,MT,50,50,3228,0.5084346021773762,0.39772714138219634,0.052941086795114334,0.1320497749838978
47,104677_47868,MT,100,100,6597,0.4928116331219902,0.3910913511590102,0.11024856075631906,0.2104078431148082
47,104677_47868,MT,150,150,9915,0.49471852472730854,0.39272150513362936,0.10334960799591741,0.41922977613285184
47,104677_47868,MT,200,200,13555,0.48949923890885794,0.3923331181328148,0.12216915114236104,1.2145469279494137
47,104677_47868,MT,250,250,16710,0.46781787829895705,0.3741065438534965,0.1982103848247193,1.149188649840653
47,104677_47868,MT,300,300,19836,0.4934759447515257,0.3967232900762872,0.10784816850766676,1.6734156759921461
47,104677_47868,MT,350,350,22897,0.4890221324093674,0.39179863859689146,0.1238795304950634,2.275970079936087
47,104677_47868,MT,400,400,26689,0.48064724352561594,0.391286865647457,0.15363107597651804,3.2806367420125753
48,105586_41303,WY,25,25,1630,0.46236300339286096,0.36894756529908324,-0.6403670936400851,1.2268335870467126
48,105586_41303,WY,50,50,3227,0.454201096324977,0.3781682924962087,-0.5829647816863794,0.12897111289203167
48,105586_41303,WY,100,100,6981,0.505992604182941,0.42979370303805975,-0.9645506687480971,0.29774876893498003
48,105586_41303,WY,150,150,9882,0.38142200949067995,0.31212728247623417,-0.116314063419926,0.40957523602992296
48,105586_41303,WY,200,200,13151,0.5101594634134666,0.4436317861499369,-0.9970401240563675,1.7373150100465864
48,105586_41303,WY,250,250,16376,0.44823038973479823,0.3793877225885801,-0.5416205557149572,1.0962185030803084
48,105586_41303,WY,300,300,19880,0.46748463908597376,0.3927604033953305,-0.6769093511801025,2.133811463834718
48,105586_41303,WY,350,350,23143,0.4407555682655239,0.36553179296460525,-0.49063224522543547,2.851158217061311
